en;it;es;Fr
The hero learned the skill§\c[2]Electric Shock!;L'eroe ha imparato l'abilità§\c[2]Scarica Elettrica!;El héroe ha aprendido la habilidad§\c[2]Descarga eléctrica!;Le héros a appris la compétence§\c[2]Choc Electrique !
\c[2]Equip the Electric Sword to use this skill!;\c[2]Equipaggia la Spada Elettrica per usare questa§abilità!;\c[2]Equipa la Espada Eléctrica para usar esta habilidad!;\c[2]Equipe l'Epée Electrique pour utiliser cette§compétence !
The hero learned the skill§\c[2]Icy Storm!;L'eroe ha imparato l'abilità§\c[2]Tempesta Gelida!;El héroe ha aprendido la habilidad§\c[2]Tormenta Helada!;Le héros a appris la compétence§\c[2]Tempête de Glace !
\c[2]Equip the Icy Sword to use this skill!;\c[2]Equipaggia la Spada Ghiacciata per usare questa§abilità!;\c[2]Equipa la Espada Helada para usar esta habilidad!;\c[2]Equipe l'Epée de Glace pour utiliser cette§compétence !
The hero learned the skill§\c[2]Fire Bomb!;L'eroe ha imparato l'abilità§\c[2]Bomba di Fuoco!;El héroe ha aprendido la habilidad§\c[2]Bomba de Fuego!;Le héros a appris la compétence§\c[2]Bombe de Feu !
\c[2]Equip the Flaming Sword to use this skill!;\c[2]Equipaggia la Spada Infuocata per usare questa§abilità!;\c[2]Equipa the Espada Llameante para usar esta§habilidad!;\c[2]Equipe l'Epée de Flamme pour utiliser cette§compétence !
The hero learned the skill§\c[2]Magic Attack!;L'eroe ha imparato l'abilità§\c[2]Attacco Magico!;El héroe ha aprendido la habilidad§\c[2]Ataque Mágico!;Le héros a appris la compétence§\c[2]Attaque Magique !
\c[2]Equip the Finalboss Sword to use this skill!;\c[2]Equipaggia la Spada di Bossfinale per usare questa§abilità!;\c[2]Equipa la Espada de Jefefinal para usar esta§habilidad!;\c[2]Equipe l'Epée de Bossfinal pour utiliser cette§compétence !
The hero learned \c[2]all the skills!;L'eroe ha imparato \c[2]tutte le abilità!;El héroe ha aprendido \c[2]todas las habilidades!;Le héros a appris \c[2]toutes les compétences !
\c[2]Equip the Sword of the Legendary Hero to use§these skills!;\c[2]Equipaggia la Spada dell'Eroe Leggendario per§usare queste abilità!;\c[2]Equipa la Espada del Héroe Legendario para usar§estas habilidades!;\c[2]Equipe l'Epée du Héros Légendaire pour utiliser ces§compétences !
No suitable enemies nearby to control or not§enough energy.\|\^;Non c'è nessun elemento controllabile in questo§posto o non c'è abbastanza energia per utilizzare§il Cristallo Controllore qui.\|\.\.\^;No hay enemigos cerca para controlar o no hay§suficiente energía.\|\^;Pas d'ennemis à contrôler ou pas assez d'énergie.\|\^
\nb[OURHERO]This should be the last of the crates in the forest!;\nb[NOSTROEROE]Dovrei aver distrutto tutte quante le casse in§questa foresta!;\nb[OURHERO]Esta debería ser de las ultimas cajas en el bosque!;\nb[NOTREHEROS]Ce devrait être la dernière caisse dans la forêt !
\nb[OURHERO]I defeated all the baddies!;\nb[NOSTROEROE]Ho eliminato tutti quanti i cattivi!;\nb[OURHERO]Derroté a todos los malos!;\nb[NOTREHEROS]J'ai vaincu tous les méchants !
\nb[OURHERO]I put out all the flames!;\nb[NOSTROEROE]Ho spento tutte le fiamme!;\nb[OURHERO]Apago todas las llamas!;\nb[NOTREHEROS]J'ai éteint toutes les flammes!
The door is closed.;La porta è chiusa.;La puerta está cerrada.;La porte est fermée.
The door is locked.;La porta è chiusa a chiave.;La puerta esta bloqueada.;La porte est fermée.
The gate is locked.;Il cancello è chiuso a chiave.;El portón está cerrado.;Le portail est fermé.
The door is sealed.;La porta è sigillata.;La puerta está sellada.;La porte est scellée.
\nb[OURHERO]Hey! Are you alive?;\nb[NOSTROEROE]Ohi! Sei vivo?;\nb[NUESTROHEROE]¡Oye! Estas vivo?;\nb[NOTREHEROS]Hé ! Tu es vivant ?
You don't have a \v[79]!;Non hai una \v[79]!;No tienes un \v[79]!;Tu n'as pas une \v[79]!
You don't have enough Dindini!;Non hai abbastanza Dindini!;No tienes suficientes Dindini!;Tu n'as pas assez de Dindini !
