en;it;es;Fr
You must be Ourhero...\|§I've been following you for a while.;Tu devi essere Nostroeroe...\|§È un po' che ti seguo.;Tu debes ser Nuestrohéroe...\|§Te he estado siguiendo por un tiempo.;Tu dois être Notrehéros...\|§Je te suis depuis un moment.
\nb[OURHERO]Who are you?!\|§Why are you following me?!;\nb[NOSTROEROE]Tu chi sei?!\|§Perché mi segui?!;\nb[NUESTROHEROE]¡¿Quién eres?!\|§¡¿Por qué me sigues?!;\nb[NOTREHEROS]Qui êtes-vous ?!\|§Pourquoi me suivez-vous ?!
Don't worry, I'm here to help you!;Tranquillo, sono qui per aiutarti!;No te preocupes, estoy aquí para ayudarte!;Pas d'inquiétude, je suis ici pour t'aider !
If I'm not wrong at the North of the Forest there is§an electric gate you can't overcome.;Se non sbaglio a nord della foresta c'è un portale§elettrico che ti impedisce di proseguire.;Si no me equivoco, en el Norte del bosque hay un§portón eléctrico que te impide continuar.;Sauf erreur de ma part, au Nord de la Forêt se trouve§un portail électrique que tu ne peux traverser.
I know how you can destroy it!;Io so come poterlo distruggere!;¡Se como puedes destruirlo!;Je sais comment tu peux le détruire !
\nb[OURHERO]Oh, that's good!;\nb[NOSTROEROE]Oh, fantastico!;\nb[NUESTROHEROE]Oh, fantástico!;\nb[NOTREHEROS]Ah, voilà une bonne chose !
Take this sword!;Prendi questa spada!;¡Toma esta espada!;Prends cette épée !
Use the electricity in this sword to overload the gate!;Grazie a questa spada potrai lanciare delle potenti§scariche elettriche contro il portale, fino a farlo§sovraccaricare!;Usa esta Espada para lanzar grandes descargas§eléctricas hacia el portal hasta que se sobrecargue!;Utilise l'électricité de cette épée afin de mettre le§portail en surtension !
\nb[OURHERO]Cool!;\nb[NOSTROEROE]Fico!;\nb[NUESTROHEROE]Genial!;\nb[NOTREHEROS]Cool !
Go and try it!;Vai a provare!;¡Ve y pruébalo!;Va et essaie !
\c[2]Skills:\c[0]\|§During your adventure you can find swords with§special abilities.;\c[2]Abilità:\c[0]\|§Durante la tua avventura potrai trovare delle spade§con caratteristiche particolari.;\c[2]Habilidades:\c[0]\|§Durante tu aventura podrás encontrar espadas con§habilidades especiales.;\c[2]Compétence:\c[0]\|§Au long de ton aventure tu trouveras des épées avec§des capacités spéciales.
Some swords, once equipped, will give the hero§special Skills!;Alcune spade, se equipaggiate, insegneranno§all'eroe delle Abilità!;Algunas espadas, una vez equipadas, le darán al§héroe habilidades especiales!;Quelques épées, une fois équipées, donnent au héros§des compétences spéciales !
To cast the skill learned from the sword, open the§Menu, go to \c[2]Skills\c[0] and press the '1' button to assign§the skill to that button!;Per utilizzare l'abilità conferita dalla spada, apri il§menu, seleziona \c[2]Abilità\c[0] e premi sopra l'abilità§selezionata il tasto '1' per assegnare l'abilità a quel§tasto!;Para lanzar la habilidad aprendida con la espada,§abre el Menu, ve a \c[2]Habilidades\c[0] y presiona el botón '1'§para asignar la habilidad a ese botón!;Pour utiliser la compétence de l'épée, ouvre le§Menu, sélectionne \c[2]Compétences\c[0] et appuie sur '1'§pour assigner la compétence à cette touche !
To then use the skill you will just have to press the§button '1' and the hero will use the skill against§obstacles or enemies!;Per poi usare l'abilità durante il gioco basterà§premere il tasto '1' e verrà lanciato l'attacco contro§oggetti o nemici!;Para luego usar la habilidad, solo tendrás que§presionar el botón '1' y el héroe usará la habilidad§contra obstáculos o enemigos!;Ensuite, pour utiliser la compétence appuie§simplement sur '1' et le héros utilisera la§compétence contre un obstacle ou un ennemi !
Open menu > Equip the sword§CLOSE MENU.§Open menu > Assign the skill§Close menu.;Apri menu > Equipaggia la spada§CHIUDI MENU.§Apri menu > Assegna l'abilità§Chiudi menu.;;
\c[2]Remember:\c[0] casting skills has a cost!\.§Keep an eye on your Skill Energy (under your health§bar). When empty you'll need a \c[2]Regenerator\c[0] to§recharge it.;\c[2]Ricorda:\c[0] lanciare le abilità ha un costo!\.§Tieni d'occhio la tua Barra delle Abilità (sotto la tua§energia). Quando è vuota avrai bisogno di un§\c[2]Rigeneratore\c[0] per ricaricarla.;\c[2]Recuerda:\c[0] lanzar habilidades tiene un costo!\.§Vigila la Energía de Habilidad (debajo de la barra§de vida). Cuando esté vacío necesitarás un§\c[2]Regenerador\c[0] para recargarla.;\c[2]Souviens-toi:\c[0] les compétences de sort ont un coût !\.§Garde un oeil sur ta Jauge de Compétences (sous ta§barre de santé). Une fois vide, tu auras besoin de§\c[2]Régénérateur\c[0] pour la recharger.
Did you try to destroy the electric gate which blocks§the way in the forest?;Hai provato a distruggere il portale elettrico che§blocca la strada nella foresta?;¿Has intentado destruir el portón eléctrico que§bloquea el camino hacia el bosque?;As-tu essayé de détruire le portail électrique qui§bloque le passage vers la forêt ?
Here, have a Regenerator.;Tieni, prendi un Rigeneratore.;Toma, aquí tienes un Regenerador.;Voici, prends un Régénérateur.
The Small Bridge is too heavy, you can't jump!;Il Ponticello è troppo pesante, non riesci a saltare!;El puente pequeño es demasaido pesado, no puedes§saltar!;Le Petit Pont est trop lourd, tu ne peux pas sauter !
