en;it;es;Fr
King's Castle;Castello del Re;Castillo del Rey;Palais Royal
Throne Room;Sala del Trono;Salón del Trono;Salle du Trône
Trophy Hall;Sala dei Trofei;Sala de Trofeos;Hall des Trophées
Arena;Arena;Arena;Arène
Teorhemas Vault;Sala del Teorhemas;Bóveda de los Teorhemas;Voûte de Teorhemas
Castle Grounds;Cortile del Castello;Terrenos del Castillo;Terres du Château
Forest of the All-Eye Monster;Foresta dell'Occhio Sgorbio;Bosque del Monstruo todo-ojos;Forêt du Monstre à l'Oeil de la Providence
Wild Valley;Valle Selvaggia;Valle Salvaje;Vallée Sauvage
Mistery Cave;Grotta dei Misteri;Cueva Misteriosa;Cave Mystérieuse
Water City;Città dell'Acqua;Ciudad de Agua;Cité de l'Eau
Finalboss Domain;Regno di Bossfinale;Dominio de Jefefinal;Domaine de Bossfinal
Foxes Desert;Deserto dei Volpini;Desierto de Zorros;Désert des Renards
Volcanic Depths;Profondità del Vulcano;Profundidades Volcánicas;Profondeurs Volcaniques
Eternal Glaciers;Ghiacciai Perenni;Glaciares Eternos;Glaciers Eternels
Dark Forest;Foresta Oscura;Bosque Oscuro;Forêt Obscure
Finalboss Castle;Castello di Bossfinale;Castillo de Jefefinal;Château de Bossfinal
Celebration Feast;Banchetto;Festín de Celebración;Festin de la Célébration
