en;it;es;Fr
You can not save in this slot.;Non puoi salvare in questo slot.;No puedes guardar en esta ranura.;Tu ne peux pas sauvegarder ici.
-Empty-;-Vuoto-;-Vacío-;-Vide-
Playtime;Tempo di gioco;Tiempo jugado;Temps de jeu
Location;Posizione;Ubicación;Position
Dindini;Dindini;Dindini;Dindini
Overwrite the file?;Sovrascrivere il file?;¿Sobrescribir el archivo?;Ecraser le fichier ?
Cancel;Annulla;Cancelar;Annuler
Choose a slot to save the game.;Scegli uno slot in cui salvare la partita.;Elige una ranura para guardar el juego.;Choisis un endroit où sauvegarder ta partie.
Choose a slot to load the game.;Scegli una partita da caricare.;Elige una ranura para cargar el juego.;Choisis la partie à lancer.
Owned;Ne hai;Tienes;Acquis
Buy;Compra;Comprar;Acheter
Sell;Vendi;Vender;Vendre
Bye...;Ciao...;Adiós...;Au revoir...
New Game;Nuovo Gioco;Nueva Partida;Nouvelle partie
Continue;Continua;Continuar;Continu
Quit the game;Chiudi il gioco;Salir del juego;Quitter le jeu
Quit the game;Chiudi il gioco;Salir del juego;Quitter le jeu
Back to Title;Torna ai Titoli;Pantalla principal;Retour à l'écran-titre
Save;Salva;Guardar;Sauver
Items;Oggetti;Objetos;Objets
Equip;Equip;Equipar;Equiper
Level;Livello;Nivel;Niveau
HP;PV;PV;PV
MP;PM;PM;PM
MP;PM;PM;PM
Weapon;Arma;Arma;Arme
Guard Accessory;Acc. di Difesa;Acc. de Defensa;Acc. de Défense
Attack Accessory;Acc. d'Attacco;Acc. de Ataque;Acc. D'Attaque
Special;Special;Especial;Spécial
Item;Oggetto;Objeto;Objet
Attack;Attacco;Atacar;Attaque
Skills;Abilità;Habilidades;Compét.
Defense;Difesa;Defensa;Défense
Exit;Esci;Salida;Sortie
Next Level;Prossimo Lv;Siguiente Nv;Prochain Nv
Experience;Esperienza;Experiencia;Expérience
Website;Sito Web;Sitio Web;Site internet
Language: ENG;Lingua: ITA;Idioma: ESP;Langue: FRA
Go back to the King!;Torna dal Re!;¡Vuelve con el Rey!;Retour au Roi !
Go back!;Torna indietro!;¡Regresa!;Retour !
Defeat the monster!;Sconfiggi il mostro!;¡Derrota al monstruo!;Vaincs le monstre !
Go to the King!;Vai dal Re!;¡Ve al Rey!;Va au Roi !
Find the book!;Trova il libro!;¡Encuentra el libro!;Trouve le livre !
\c[6]You find;\c[6]Trovi;\c[6]Has encontrado;\c[6]Tu trouves
\c[6]You gave away;\c[6]Consegni;\c[6]Has regalado;\c[6]Tu as donné
\c[6]You got;\c[6]Ricevi;\c[6]Tienes;\c[6]Tu reçois
\c[14]Act \v[10]:;\c[14]Atto \v[10]:;\c[14]Acto \v[10]:;\c[14]Acte \v[10]:
\c[10]Completed!\|\|\|\|\|\^;\c[10]Completato!\|\|\|\|\|\^;\c[10]¡Completado!\|\|\|\|\|\^;\c[10]Terminé !\|\|\|\|\|\^
The;Il;El;Le
The;La;La;La
The;I;Los;Les
The;Le;Las;Les
Ourhero;Nostroeroe;Nuestrohéroe;Notrehéros
Knight;Cavaliere;Caballero;Chevalier
Skill assigned! Press button '1' to use it.;Abilità assegnata! Premi il tasto '1' per usarla.;¡Habilidad asignada! Presiona '1' para usarla.;Compétence assignée ! Appuie sur '1' pour l'utiliser.
Lv;Lv;Nv;Nv
Full-screen;Schermo Int.;Pantalla compl.;Plein écran
Windowed;Mod. finestra;Modo ventana;Mode fenêtré
